Signature,CurveAddress,DateTime,PreBalance,PostBalance,BalanceChange,SOLChange,ChangePercentage,HasTimestamp
"54qy1Zs2FVqo7jDDpdCmjf6nNdjDypaPNSJfUUGXT7fXUPsYe5afEV2dQWje1aY6ziZZQGmkf1zyGX6RgY4AXSYU","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T07:02:32.000Z",21379962464867,21379962239867,-225000,-0.000225,0,YES
"45UGQXdnegvCVzWL6x1VuuMQGA7npEjStxr7q691VxF1dFNz4PMfueCnncSZk2NVeCQ3Ddbocb6udwoHZQB6SsDA","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T07:05:58.000Z",21383296938134,21383296713134,-225000,-0.000225,0,YES
"4N7Mig1K6tr38EDi5CW49k6bpXscjDJriAtoWcHSizxYbjxfTUk1y1FyzrrBh4kXd628bzjXpfu35uMSQufgUAyd","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T07:27:12.000Z",21394768458721,21394768453721,-5000,-0.000005,0,YES
"2DrGBDQTCeB5qrasGNRu9jvrBupV5fTPVU5aKnwTt7QAvURSxFia1wya1kxyyFn3a7CvWbv7rtzsTRVtG6TtoWxc","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T08:11:25.000Z",21421500235276,21421500230276,-5000,-0.000005,0,YES
"32Sxvcnw5qMtyKUuJ7d9nRcHkN387hSUYyoKWhx7zrQwkcFw9oiFygQMAB3FRMqxE5xWkEuRng2NbGsXTEE1BLVG","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T08:44:06.000Z",21441479296579,21441479291579,-5000,-0.000005,0,YES
"LUx8Fkst84bRKGjD2PBdMLYivHtULYvZy65ZTSg4LWdMMuo5CQLMAat1yxHTfXKb68Wt1JNjiXdhNhG84vdzmnU","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T08:46:16.000Z",21442369413325,21442369408325,-5000,-0.000005,0,YES
"3zzZZHFYMDKzxGWyAFSdFYUeqeBQtgcjUuAhzzPQWmiaTRpr2wUtTJnnoyvMCKapt4BaTy3Ff4EFRZDs4rmiEnDe","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T08:57:50.000Z",21449767061272,21449767056272,-5000,-0.000005,0,YES
"3dUg84D61uXmPdFaM9jb32j3HuQAphVgoApqixSXF8iMw12qJJE6A9z9NtkPMpThyNENWYQ4PuTyzc61kVJinsi2","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T09:05:05.000Z",21453403102936,21453403097936,-5000,-0.000005,0,YES
"32QUag5uQKpixCJ7Y56tkpyT7xRhJJ4NcU9h2Z1j1aNt4XqGBHvb5CzG4wz599J5XrpmwvhAcdZPUghBoebrgsdh","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T09:18:15.000Z",21460490427471,21460490422471,-5000,-0.000005,0,YES
"54adg1mfbEJuHdxfHttnPhbhnXMAgXyQqFLWko8nHctiwoLsTLSQxKzSeRb1Ch5bXPCEe9zCe13asdg9BbFjCqCv","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T09:28:09.000Z",21465679445503,21465679440503,-5000,-0.000005,0,YES
"3RyyQ6DtiyipGDrA15JBwrUUNCskhobT6d5NE7YnsSGhTTrPtD3ToajYr7TBHfxiEXeUXcYfyTRYf2hMD6iA2PiN","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T09:37:21.000Z",21471118016779,21471118011779,-5000,-0.000005,0,YES
"3tkd9hdMwF5W1AkcaGLyByZuNxahoS1JcGooZ4bCucP6nRSPabhJCGrL5gmEieC6wY5fhSHd3okZ1Uz8CPfTgAwB","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T09:42:33.000Z",21474123913357,21474123908357,-5000,-0.000005,0,YES
"5GTSt6EpczU3BdYYJVQDN5q4S16y4nE6qhoP52obESzQxnoxB9SHpwNB2UFy469juM39jjEfXqjv5hY4Jrqvk3m3","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T10:13:01.000Z",21495847927823,21495847922823,-5000,-0.000005,0,YES
"3LpMgXdZoTRTkNTyhugf7tTv2yNAVsc3RdaNSdyAq4iyh19tzp3cei5Z5WZQNHTfgiDfgbUWRUz7G7KAANGwumUL","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T10:24:27.000Z",21502806695030,21502806690030,-5000,-0.000005,0,YES
"4PRGdeavVpEBf1pLoDrC3LfAf3oJkGt161HouBcWstZAoF8BvbWbhPHGFLs3GGZS71txp2u6c1aDxvY3M1UsMcTY","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T10:26:13.000Z",21504145589133,21504145584133,-5000,-0.000005,0,YES
"4xQcqkM72CCcGxa5LhktXN1CgKbhHiTMY1x2a6khUYWh71hmNWMLWtRx4ZCxqToiif7ykherfhFqsA7yJu27izAD","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T10:27:55.000Z",21505165351567,21505165346567,-5000,-0.000005,0,YES
"RTiG1dujqoPEnuN97eZ4uFoFQ2wchx6oc9iSXAdEKiZFu5tFo3pfYfNcan4ZLekh7nYBqpG6s5EXh9vtfLedu9P","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T10:30:40.000Z",21506472361093,21506472356093,-5000,-0.000005,0,YES
"4bfGb286aBGDphgck3ppDKpEjRJxbpEQ1NDrGcDM6hJQe4AbsxTnr9YZcWTmxbPhEW66HVJE31fJVSp7ZBrBoy1w","A4mfqtbZQgbRrad9WtJQeRqkBZG3gVjiUApag9ysWByJ","2025-10-06T11:43:17.000Z",21577133509109,21577133504109,-5000,-0.000005,0,YES
